exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced,sl_forced
397,396,LONG,3347.989,3328.996,-189.92999999999938,2,True,True
406,398,LONG,3329.274,3330.966,16.920000000000073,9,False,False
408,406,SHORT,3330.966,3334.338,-33.72000000000298,3,False,False
411,408,LONG,3334.338,3339.15,48.11999999999898,4,False,False
413,411,SHORT,3339.15,3342.079,-29.290000000000873,3,False,False
414,413,LONG,3342.079,3340.049,-20.300000000002,2,False,False
415,414,SHORT,3340.049,3334.981,50.67999999999756,2,False,False
429,415,LONG,3334.981,3343.905,89.23999999999978,15,False,False
433,429,SHORT,3343.905,3339.325,45.80000000000382,5,False,False
435,433,LONG,3339.325,3325.886,-134.3899999999985,3,True,True
438,436,SHORT,3328.828,3325.788,30.399999999999636,3,False,False
440,438,LONG,3325.788,3313.06,-127.28000000000065,3,True,True
445,441,LONG,3319.015,3337.444,184.29000000000087,5,False,False
446,445,SHORT,3337.444,3338.523,-10.790000000001783,2,False,False
452,446,LONG,3338.523,3337.698,-8.250000000002728,7,False,False
454,452,SHORT,3337.698,3334.528,31.700000000000728,3,False,False
460,454,LONG,3334.528,3352.322,177.94000000000324,7,False,False
461,460,SHORT,3352.322,3351.349,9.729999999999563,2,False,False
463,461,LONG,3351.349,3359.916,85.67000000000007,3,False,False
465,463,SHORT,3359.916,3354.707,52.090000000002874,3,False,False
466,465,LONG,3354.707,3353.654,-10.529999999998836,2,False,False
467,466,SHORT,3353.654,3353.732,-0.7799999999997453,2,False,False
474,467,LONG,3353.732,3352.272,-14.600000000000364,8,False,False
479,474,SHORT,3352.272,3366.661,-143.89000000000124,6,True,True
483,480,SHORT,3368.384,3366.005,23.789999999999054,4,False,False
486,483,LONG,3366.005,3387.23,212.2499999999991,4,False,False
487,486,SHORT,3387.23,3388.615,-13.849999999997635,2,False,False
488,487,LONG,3388.615,3400.342,117.27000000000317,2,False,False
494,488,SHORT,3400.342,3397.578,27.640000000001237,7,False,False
497,494,LONG,3397.578,3394.481,-30.969999999997526,4,False,False
499,497,SHORT,3394.481,3385.964,85.1700000000028,2,True,False
